Epoch 75,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0067,binary_accuracy: 0.9980,val_loss: 0.0065,val_binary_accuracy: 0.9980",
Epoch 76,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0067,binary_accuracy: 0.9980,val_loss: 0.0064,val_binary_accuracy: 0.9980",
Epoch 77,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0066,binary_accuracy: 0.9980,val_loss: 0.0070,val_binary_accuracy: 0.9980",
Epoch 78,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0066,binary_accuracy: 0.9980,val_loss: 0.0063,val_binary_accuracy: 0.9980",
Epoch 79,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0065,binary_accuracy: 0.9980,val_loss: 0.0063,val_binary_accuracy: 0.9980",
Epoch 80,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0065,binary_accuracy: 0.9980,val_loss: 0.0065,val_binary_accuracy: 0.9980",
Epoch 81,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0065,binary_accuracy: 0.9980,val_loss: 0.0061,val_binary_accuracy: 0.9980",
Epoch 82,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0061,val_binary_accuracy: 0.9980",
Epoch 83,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0061,val_binary_accuracy: 0.9980",
Epoch 84,"4008025/4008025 [==============================],35s,9us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0061,val_binary_accuracy: 0.9980",
Epoch 85,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0063,val_binary_accuracy: 0.9980",
Epoch 86,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0062,val_binary_accuracy: 0.9980",
Epoch 87,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0065,binary_accuracy: 0.9980,val_loss: 0.0065,val_binary_accuracy: 0.9980",
Epoch 88,"4008025/4008025 [==============================],35s,9us/step,loss: 0.0065,binary_accuracy: 0.9980,val_loss: 0.0068,val_binary_accuracy: 0.9980",
Epoch 89,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0066,binary_accuracy: 0.9980,val_loss: 0.0064,val_binary_accuracy: 0.9980",
Epoch 90,"4008025/4008025 [==============================],34s,9us/step,loss: 0.0066,binary_accuracy: 0.9980,val_loss: 0.0064,val_binary_accuracy: 0.9980",
